Node,2-12,7,,,,,,,,,,,,,,,,,,,,,,,
Canal,Canal Key,Type_Child Node,Parent Key,Child Key,Parent Name,Child Name,Section,ID,Class,under confirm,Direction,Length,Offset,Photo,Hilight_ChildNode,Area,Cum_Area,fishpond,A,Bigger_ID P3A,Latest Growing Stage,UPI,Golongan_Canal,Golongan_TB,Bank
Sindupraja MC.,R_M1,Str,R_Sd_00,R_Sd_01,HW,Excluder Sindupraja,,,DS,,right,750,0,Not Available,#,,,,12.34,,,,Right_Golongan_1_2,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_00,L_Cpl_01,HW,Excluder Cipelang,,,DS,,left,750,0,Not Available,#,,,,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_01,L_Cpl_01_1,Excluder Cipelang,Suplesi Kamun,sec01,L_M1_sec01_01,Division,,up,120,0,d/1WenSdRFvzYHzFYXYs-rAVaivsKEYjqIW,,,,,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_01_1,L_Cpl_02,Suplesi Kamun,B.Cpl.1.1,sec02,L_M1_sec01_02,,,up,100,0,,,,,,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_02,L_Cpl_03,B.Cpl.1.1,B.Cpl.1.2,sec03,L_M1_sec02,Other,,up,100,0,1FSBDNMhp3nw5G60WDODpOvBPRI9GFD4W,,,"36,691",,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_03,L_Cpl_04,B.Cpl.1.2,B.Cpl.1.3,sec04,L_M1_sec03,Other,,up,100,0,1obsff8eCnjE4qEbu2L8T5onpR7bm2yWv,,,"36,470",,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_04,L_Cpl_05,B.Cpl.1.3,B.Cpl.1.4,sec05,L_M1_sec04,Other,,up,120,0,1W99o-3dvJY5XqqrvXB66Dz-3Q5IZK5xy,#,,"36,431",,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_05,L_Cpl_06,B.Cpl.1.4,B.Cpl.1,sec06,L_M1_sec05,DS,,up,120,0,1bcZGPRkZdQfLkGGvRdvoZROUEC8nxMh-,,,"35,997",,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_06,L_Cpl_07,B.Cpl.1,B.Cpl.2.1,sec07,L_M1_sec06,DS,,up,100,0,1VyK_DvfAx5oytLIoOJYh4TlJ3gsc0k3C,,,"35,902",,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_07,L_Cpl_08,B.Cpl.2.1,B.Cpl.2,sec08,L_M1_sec07,Other,,up,100,0,1tuJ9rVuVA8Frrjkoif6n7ShwSTxmZUr0,,,"35,782",,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_08,L_Cpl_09,B.Cpl.2,B.Cpl.3.1,sec09,L_M1_sec08,Other,,up,100,0,1I0q59CpQFVDdOdkzCEmA1zN6x7v3LXly,,,"35,706",,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_09,L_Cpl_10,B.Cpl.3.1,B.Cpl.3,sec10,L_M1_sec09,Other,,up,100,0,1WkbKZ4xsX-7FmC_vDhLUZw7k2WV6YULH,,,"35,637",,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_10,L_Cpl_11,B.Cpl.3,B.Cpl.4,sec11,L_M1_sec10,Other,,up,100,0,1HEP2odz-Uv9fec8JUug41ITUJt8nYAzL,,,"35,547",,12.34,,,,Left_Golongan_1,FALSE,
Cipelang MC.,L_M1,Str,L_Cpl_11,L_Cpl_12,B.Cpl.4,B.Cpl.5,sec12,L_M1_sec11,Other,,up,120,0,1H1g6-Zu3lLuMM7IKiAFFKQrwD4_Xj5d2,#,,"35,345",,12.34,,,,Left_Golongan_1,FALSE,
Sumber SC.,L_M1_S01,Str,L_Cpl_05,L_Sb_01,B.Cpl.1.4,B.Sb.1.1,sec01,L_M1_S01_sec01,Division,,left,270,0,1bcZGPRkZdQfLkGGvRdvoZROUEC8nxMh-,,,327,,12.34,,,,Left_Golongan_1,FALSE,
Sumber SC.,L_M1_S01,Str,L_Sb_01,L_Sb_02,B.Sb.1.1,B.Sb.1,sec02,L_M1_S01_sec02,Other,,left,150,0,1nxNbBf0jhONhTcyD11Zh06eV35iLc58i,,,295,,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Cpl_12,L_Bt_01,B.Cpl.5,B.Bt.1.1,sec01,L_M2_sec01,Division,,left,580,0,1WLKrlVB5n_WJ-XMQmL1URO9gI0G97n_G,,,"16,970",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_01,L_Bt_02,B.Bt.1.1,B.Bt.1.2,sec02,L_M2_sec02,Other,,left,180,0,1dROuC4tRKxyew7kOpKxDv58LsTo8QQje,,,"16,899",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_02,L_Bt_03,B.Bt.1.2,B.Bt.1,sec03,L_M2_sec03,Other,,left,250,0,1J5BZK3egcCslI11TkHRnIbeOAkbmTnjQ,#,,"16,828",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_03,L_Bt_04,B.Bt.1,B.Bt.2,sec04,L_M2_sec04,DS,,left,240,0,10PdO37qmmdRxlkBFcK44d3jhfcqqw_oX,,,"15,602",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_04,L_Bt_05,B.Bt.2,B.Bt.3,sec05,L_M2_sec05,Other,,left,240,0,1mrMhUOHjdT-KwOBXpV2KIe4aS3jMLbGn,,,"15,477",,12.34,,,,Left_Golongan_1,FALSE,
Barat MC.,L_M2,Str,L_Bt_05,L_Bt_06,B.Bt.3,B.Bt.4,sec06,L_M2_sec06,Other,,left,160,0,1D-LA80LLBgF0j63jRTP8h_CaGjtnR552,#,,"15,390",,12.34,,,,Left_Golongan_1,FALSE,
