5Day_ID,ETo
1,4.89
2,4.47
3,4.43
4,4.72
5,4.61
6,4.41
7,4.19
8,3.95
9,3.79
10,4.06
11,4.08
12,3.9
13,3.87
14,4.01
15,3.92
16,3.69
17,3.63
18,3.77
19,3.58
20,3.64
21,3.84
22,3.79
23,3.77
24,3.64
25,3.81
26,3.8
27,3.9
28,4.09
29,3.87
30,4.21
31,4.04
32,3.96
33,4.12
34,4.27
35,4.28
36,4.03
37,4.03
38,4.04
39,4.23
40,4.08
41,4.23
42,4.03
43,3.77
44,3.86
45,3.98
46,3.96
47,3.92
48,4.09
49,4.27
50,4.35
51,4.17
52,4.32
53,4.24
54,4.71
55,5.38
56,4.94
57,4.82
58,5.07
59,5.13
60,5.13
61,5.71
62,5.68
63,5.89
64,5.74
65,5.8
66,5.59
67,6.05
68,5.67
69,5.63
70,5.45
71,5.52
72,5.14
