Bank,Golongan,Group,Season,Month,Step,NFR
Left,1,Left_Golongan 1,MT-1,11,1,0.0
Left,1,Left_Golongan 1,MT-1,11,2,0.0
Left,1,Left_Golongan 1,MT-1,11,3,0.0
Left,1,Left_Golongan 1,MT-1,11,4,0.0
Left,1,Left_Golongan 1,MT-1,11,5,0.0
Left,1,Left_Golongan 1,MT-1,11,6,0.0
Left,1,Left_Golongan 1,MT-1,12,1,0.1763160040727873
Left,1,Left_Golongan 1,MT-1,12,2,0.4440267449943528
Left,1,Left_Golongan 1,MT-1,12,3,0.855899046271218
Left,1,Left_Golongan 1,MT-1,12,4,0.6406970206476408
Left,1,Left_Golongan 1,MT-1,12,5,0.8539415610572826
Left,1,Left_Golongan 1,MT-1,12,6,0.7592695916069211
Left,1,Left_Golongan 1,MT-1,1,1,0.2693287037037038
Left,1,Left_Golongan 1,MT-1,1,2,0.0
Left,1,Left_Golongan 1,MT-1,1,3,0.7386574074074074
Left,1,Left_Golongan 1,MT-1,1,4,0.6906828703703703
Left,1,Left_Golongan 1,MT-1,1,5,0.6530092592592592
Left,1,Left_Golongan 1,MT-1,1,6,0.7903356481481483
Left,1,Left_Golongan 1,MT-1,2,1,0.0
Left,1,Left_Golongan 1,MT-1,2,2,0.0
Left,1,Left_Golongan 1,MT-1,2,3,0.6252314814814816
Left,1,Left_Golongan 1,MT-1,2,4,0.5119405864197532
Left,1,Left_Golongan 1,MT-1,2,5,0.0
Left,1,Left_Golongan 1,MT-1,2,6,0.19845679012345674
Left,1,Left_Golongan 1,MT-1,3,1,0.256886574074074
Left,1,Left_Golongan 1,MT-1,3,2,0.035493827160493825
Left,1,Left_Golongan 1,MT-1,3,3,0.0
Left,1,Left_Golongan 1,MT-1,3,4,0.0
Left,1,Left_Golongan 1,MT-1,3,5,0.0
Left,1,Left_Golongan 1,MT-1,3,6,0.0
Left,1,Left_Golongan 1,MT-1,4,1,0.0
Left,1,Left_Golongan 1,MT-1,4,2,0.0
Left,1,Left_Golongan 1,MT-1,4,3,0.0
Left,1,Left_Golongan 1,MT-1,4,4,0.0
Left,1,Left_Golongan 1,MT-1,4,5,0.0
Left,1,Left_Golongan 1,MT-1,4,6,0.0
Left,1,Left_Golongan 1,MT-1,5,1,0.0
Left,1,Left_Golongan 1,MT-1,5,2,0.0
Left,1,Left_Golongan 1,MT-1,5,3,0.0
Left,1,Left_Golongan 1,MT-1,5,4,0.0
Left,1,Left_Golongan 1,MT-1,5,5,0.0
Left,1,Left_Golongan 1,MT-1,5,6,0.0
Left,1,Left_Golongan 1,MT-1,6,1,0.0
Left,1,Left_Golongan 1,MT-1,6,2,0.0
Left,1,Left_Golongan 1,MT-1,6,3,0.0
Left,1,Left_Golongan 1,MT-1,6,4,0.0
Left,1,Left_Golongan 1,MT-1,6,5,0.0
Left,1,Left_Golongan 1,MT-1,6,6,0.0
Left,1,Left_Golongan 1,MT-1,7,1,0.0
Left,1,Left_Golongan 1,MT-1,7,2,0.0
Left,1,Left_Golongan 1,MT-1,7,3,0.0
Left,1,Left_Golongan 1,MT-1,7,4,0.0
Left,1,Left_Golongan 1,MT-1,7,5,0.0
Left,1,Left_Golongan 1,MT-1,7,6,0.0
Left,1,Left_Golongan 1,MT-1,8,1,0.0
Left,1,Left_Golongan 1,MT-1,8,2,0.0
Left,1,Left_Golongan 1,MT-1,8,3,0.0
Left,1,Left_Golongan 1,MT-1,8,4,0.0
Left,1,Left_Golongan 1,MT-1,8,5,0.0
Left,1,Left_Golongan 1,MT-1,8,6,0.0
Left,1,Left_Golongan 1,MT-1,9,1,0.0
