group,Crop,Month,Step,Re
Left_Golongan 1,Re_paddy,11,1,0.6
Left_Golongan 1,Re_paddy,11,2,1.0
Left_Golongan 1,Re_paddy,11,3,0.5
Left_Golongan 1,Re_paddy,11,4,1.5
Left_Golongan 1,Re_paddy,11,5,3.5
Left_Golongan 1,Re_paddy,11,6,7.5
Left_Golongan 1,Re_paddy,12,1,2.5
Left_Golongan 1,Re_paddy,12,2,4.1
Left_Golongan 1,Re_paddy,12,3,4.4
Left_Golongan 1,Re_paddy,12,4,8.6
Left_Golongan 1,Re_paddy,12,5,5.5
Left_Golongan 1,Re_paddy,12,6,4.8
Left_Golongan 1,Re_paddy,1,1,5.6
Left_Golongan 1,Re_paddy,1,2,9.4
Left_Golongan 1,Re_paddy,1,3,1.6
Left_Golongan 1,Re_paddy,1,4,1.7
Left_Golongan 1,Re_paddy,1,5,1.9
Left_Golongan 1,Re_paddy,1,6,0.8
Left_Golongan 1,Re_paddy,2,1,9.2
Left_Golongan 1,Re_paddy,2,2,9.2
Left_Golongan 1,Re_paddy,2,3,2.3
Left_Golongan 1,Re_paddy,2,4,3.1
Left_Golongan 1,Re_paddy,2,5,9.5
Left_Golongan 1,Re_paddy,2,6,4.3
Left_Golongan 1,Re_paddy,3,1,3.4
Left_Golongan 1,Re_paddy,3,2,4.1
Left_Golongan 1,Re_paddy,3,3,6.6
Left_Golongan 1,Re_paddy,3,4,2.3
Left_Golongan 1,Re_paddy,3,5,3.7
Left_Golongan 1,Re_paddy,3,6,4.2
Left_Golongan 1,Re_paddy,4,1,4.0
Left_Golongan 1,Re_paddy,4,2,0.9
Left_Golongan 1,Re_paddy,4,3,1.7
Left_Golongan 1,Re_paddy,4,4,1.1
Left_Golongan 1,Re_paddy,4,5,2.1
Left_Golongan 1,Re_paddy,4,6,1.5
Left_Golongan 1,Re_paddy,5,1,1.2
Left_Golongan 1,Re_paddy,5,2,0.9
Left_Golongan 1,Re_paddy,5,3,0.0
Left_Golongan 1,Re_paddy,5,4,0.0
Left_Golongan 1,Re_paddy,5,5,3.2
Left_Golongan 1,Re_paddy,5,6,0.0
Left_Golongan 1,Re_paddy,6,1,0.2
Left_Golongan 1,Re_paddy,6,2,0.0
Left_Golongan 1,Re_paddy,6,3,0.0
Left_Golongan 1,Re_paddy,6,4,0.1
Left_Golongan 1,Re_paddy,6,5,0.0
Left_Golongan 1,Re_paddy,6,6,0.0
Left_Golongan 1,Re_paddy,7,1,0.0
Left_Golongan 1,Re_paddy,7,2,0.0
Left_Golongan 1,Re_paddy,7,3,0.0
Left_Golongan 1,Re_paddy,7,4,0.0
Left_Golongan 1,Re_paddy,7,5,0.0
Left_Golongan 1,Re_paddy,7,6,0.0
Left_Golongan 1,Re_paddy,8,1,0.0
Left_Golongan 1,Re_paddy,8,2,0.0
Left_Golongan 1,Re_paddy,8,3,0.0
Left_Golongan 1,Re_paddy,8,4,0.0
Left_Golongan 1,Re_paddy,8,5,0.0
Left_Golongan 1,Re_paddy,8,6,0.0
Left_Golongan 1,Re_paddy,9,1,0.0
Left_Golongan 1,Re_paddy,9,2,0.0
Left_Golongan 1,Re_paddy,9,3,0.0
Left_Golongan 1,Re_paddy,9,4,0.0
Left_Golongan 1,Re_paddy,9,5,0.0
Left_Golongan 1,Re_paddy,9,6,0.0
Left_Golongan 1,Re_paddy,10,1,0.0
Left_Golongan 1,Re_paddy,10,2,0.0
Left_Golongan 1,Re_paddy,10,3,0.0
Left_Golongan 1,Re_paddy,10,4,0.0
Left_Golongan 1,Re_paddy,10,5,0.0
Left_Golongan 1,Re_paddy,10,6,1.5
Left_Golongan 1,Re_palawija,11,1,0.3
Left_Golongan 1,Re_palawija,11,2,0.5
Left_Golongan 1,Re_palawija,11,3,0.2
Left_Golongan 1,Re_palawija,11,4,0.8
Left_Golongan 1,Re_palawija,11,5,1.8
Left_Golongan 1,Re_palawija,11,6,3.8
Left_Golongan 1,Re_palawija,12,1,1.2
Left_Golongan 1,Re_palawija,12,2,2.0
Left_Golongan 1,Re_palawija,12,3,2.2
Left_Golongan 1,Re_palawija,12,4,4.3
Left_Golongan 1,Re_palawija,12,5,2.8
Left_Golongan 1,Re_palawija,12,6,2.4
Left_Golongan 1,Re_palawija,1,1,2.8
Left_Golongan 1,Re_palawija,1,2,4.7
Left_Golongan 1,Re_palawija,1,3,0.8
Left_Golongan 1,Re_palawija,1,4,0.8
Left_Golongan 1,Re_palawija,1,5,1.0
Left_Golongan 1,Re_palawija,1,6,0.4
Left_Golongan 1,Re_palawija,2,1,4.6
Left_Golongan 1,Re_palawija,2,2,4.6
Left_Golongan 1,Re_palawija,2,3,1.2
Left_Golongan 1,Re_palawija,2,4,1.6
Left_Golongan 1,Re_palawija,2,5,4.8
Left_Golongan 1,Re_palawija,2,6,2.2
Left_Golongan 1,Re_palawija,3,1,1.7
Left_Golongan 1,Re_palawija,3,2,2.0
Left_Golongan 1,Re_palawija,3,3,3.3
Left_Golongan 1,Re_palawija,3,4,1.2
Left_Golongan 1,Re_palawija,3,5,1.8
Left_Golongan 1,Re_palawija,3,6,2.1
Left_Golongan 1,Re_palawija,4,1,2.0
Left_Golongan 1,Re_palawija,4,2,0.4
Left_Golongan 1,Re_palawija,4,3,0.8
Left_Golongan 1,Re_palawija,4,4,0.6
Left_Golongan 1,Re_palawija,4,5,1.0
Left_Golongan 1,Re_palawija,4,6,0.8
Left_Golongan 1,Re_palawija,5,1,0.6
Left_Golongan 1,Re_palawija,5,2,0.4
Left_Golongan 1,Re_palawija,5,3,0.0
Left_Golongan 1,Re_palawija,5,4,0.0
Left_Golongan 1,Re_palawija,5,5,1.6
Left_Golongan 1,Re_palawija,5,6,0.0
Left_Golongan 1,Re_palawija,6,1,0.1
Left_Golongan 1,Re_palawija,6,2,0.0
Left_Golongan 1,Re_palawija,6,3,0.0
Left_Golongan 1,Re_palawija,6,4,0.0
Left_Golongan 1,Re_palawija,6,5,0.0
Left_Golongan 1,Re_palawija,6,6,0.0
Left_Golongan 1,Re_palawija,7,1,0.0
Left_Golongan 1,Re_palawija,7,2,0.0
Left_Golongan 1,Re_palawija,7,3,0.0
Left_Golongan 1,Re_palawija,7,4,0.0
Left_Golongan 1,Re_palawija,7,5,0.0
Left_Golongan 1,Re_palawija,7,6,0.0
Left_Golongan 1,Re_palawija,8,1,0.0
Left_Golongan 1,Re_palawija,8,2,0.0
Left_Golongan 1,Re_palawija,8,3,0.0
Left_Golongan 1,Re_palawija,8,4,0.0
Left_Golongan 1,Re_palawija,8,5,0.0
Left_Golongan 1,Re_palawija,8,6,0.0
Left_Golongan 1,Re_palawija,9,1,0.0
Left_Golongan 1,Re_palawija,9,2,0.0
Left_Golongan 1,Re_palawija,9,3,0.0
Left_Golongan 1,Re_palawija,9,4,0.0
Left_Golongan 1,Re_palawija,9,5,0.0
Left_Golongan 1,Re_palawija,9,6,0.0
Left_Golongan 1,Re_palawija,10,1,0.0
Left_Golongan 1,Re_palawija,10,2,0.0
Left_Golongan 1,Re_palawija,10,3,0.0
Left_Golongan 1,Re_palawija,10,4,0.0
Left_Golongan 1,Re_palawija,10,5,0.0
Left_Golongan 1,Re_palawija,10,6,0.8
Left_Golongan 2,Re_paddy,11,1,1.4
Left_Golongan 2,Re_paddy,11,2,2.0
Left_Golongan 2,Re_paddy,11,3,0.8
Left_Golongan 2,Re_paddy,11,4,2.4
Left_Golongan 2,Re_paddy,11,5,0.5
Left_Golongan 2,Re_paddy,11,6,3.8
Left_Golongan 2,Re_paddy,12,1,1.0
Left_Golongan 2,Re_paddy,12,2,5.7
Left_Golongan 2,Re_paddy,12,3,1.9
Left_Golongan 2,Re_paddy,12,4,5.2
Left_Golongan 2,Re_paddy,12,5,4.4
Left_Golongan 2,Re_paddy,12,6,5.4
Left_Golongan 2,Re_paddy,1,1,3.0
Left_Golongan 2,Re_paddy,1,2,7.9
Left_Golongan 2,Re_paddy,1,3,0.9
Left_Golongan 2,Re_paddy,1,4,2.2
Left_Golongan 2,Re_paddy,1,5,2.0
Left_Golongan 2,Re_paddy,1,6,1.5
Left_Golongan 2,Re_paddy,2,1,7.2
Left_Golongan 2,Re_paddy,2,2,8.6
Left_Golongan 2,Re_paddy,2,3,4.5
Left_Golongan 2,Re_paddy,2,4,3.9
Left_Golongan 2,Re_paddy,2,5,4.7
Left_Golongan 2,Re_paddy,2,6,1.2
Left_Golongan 2,Re_paddy,3,1,4.2
Left_Golongan 2,Re_paddy,3,2,1.9
Left_Golongan 2,Re_paddy,3,3,4.3
Left_Golongan 2,Re_paddy,3,4,2.1
Left_Golongan 2,Re_paddy,3,5,2.2
Left_Golongan 2,Re_paddy,3,6,2.6
Left_Golongan 2,Re_paddy,4,1,4.5
Left_Golongan 2,Re_paddy,4,2,0.6
Left_Golongan 2,Re_paddy,4,3,0.7
Left_Golongan 2,Re_paddy,4,4,0.9
Left_Golongan 2,Re_paddy,4,5,2.7
Left_Golongan 2,Re_paddy,4,6,2.3
Left_Golongan 2,Re_paddy,5,1,1.2
Left_Golongan 2,Re_paddy,5,2,1.0
Left_Golongan 2,Re_paddy,5,3,0.0
Left_Golongan 2,Re_paddy,5,4,0.0
Left_Golongan 2,Re_paddy,5,5,3.1
Left_Golongan 2,Re_paddy,5,6,0.4
Left_Golongan 2,Re_paddy,6,1,0.5
Left_Golongan 2,Re_paddy,6,2,0.0
Left_Golongan 2,Re_paddy,6,3,0.0
Left_Golongan 2,Re_paddy,6,4,0.1
Left_Golongan 2,Re_paddy,6,5,0.0
Left_Golongan 2,Re_paddy,6,6,0.0
Left_Golongan 2,Re_paddy,7,1,0.0
Left_Golongan 2,Re_paddy,7,2,0.0
Left_Golongan 2,Re_paddy,7,3,0.0
Left_Golongan 2,Re_paddy,7,4,0.0
Left_Golongan 2,Re_paddy,7,5,0.0
Left_Golongan 2,Re_paddy,7,6,0.0
Left_Golongan 2,Re_paddy,8,1,0.0
Left_Golongan 2,Re_paddy,8,2,0.0
Left_Golongan 2,Re_paddy,8,3,0.0
Left_Golongan 2,Re_paddy,8,4,0.0
Left_Golongan 2,Re_paddy,8,5,0.0
Left_Golongan 2,Re_paddy,8,6,0.0
Left_Golongan 2,Re_paddy,9,1,0.0
Left_Golongan 2,Re_paddy,9,2,0.0
Left_Golongan 2,Re_paddy,9,3,0.0
Left_Golongan 2,Re_paddy,9,4,0.0
Left_Golongan 2,Re_paddy,9,5,0.0
Left_Golongan 2,Re_paddy,9,6,0.0
Left_Golongan 2,Re_paddy,10,1,0.0
Left_Golongan 2,Re_paddy,10,2,0.0
Left_Golongan 2,Re_paddy,10,3,0.1
Left_Golongan 2,Re_paddy,10,4,0.0
Left_Golongan 2,Re_paddy,10,5,0.0
Left_Golongan 2,Re_paddy,10,6,1.4
Left_Golongan 2,Re_palawija,11,1,0.7
Left_Golongan 2,Re_palawija,11,2,1.0
Left_Golongan 2,Re_palawija,11,3,0.4
Left_Golongan 2,Re_palawija,11,4,1.2
Left_Golongan 2,Re_palawija,11,5,0.2
Left_Golongan 2,Re_palawija,11,6,1.9
Left_Golongan 2,Re_palawija,12,1,0.5
Left_Golongan 2,Re_palawija,12,2,2.8
Left_Golongan 2,Re_palawija,12,3,1.0
Left_Golongan 2,Re_palawija,12,4,2.6
Left_Golongan 2,Re_palawija,12,5,2.2
